Lamar Jackson
Kyler Murray
Patrick Mahomes
Desean Watson
Russel Wilson
Drew Brees
Dak Prescott
Cam Newton
Josh Allen
Matt Ryan
Ryan Tannehill
Aaron Rodgers
Tom Brady
Matthew Stafford
Carson Wentz
Ben Roethlisberger
Baker Mayfield
Jared Goff
Drew Lock
Philip Rivers
Joe Burrow
Kirk Cousins
Dwayne Haskins
Tyrod Taylor
