Chase McLaughlin,K;18.70|
Seattle,DEF;18.68|
Philadelphia,DEF;18.63|
Allen Lazard,WR;18.60|
Brett Maher,K;18.59|
Dallas,DEF;18.57|
Indianapolis,DEF;18.56|
Austin Seibert,K;18.56|
None,NONE;0.00|
None,NONE;0.00|
None,NONE;0.00|
None,NONE;0.00|
None,NONE;0.00|
None,NONE;0.00|
None,NONE;0.00|



